,first_name,last_name,email,email_verified,signup_date,referral_count,balance
michelle4225,Michelle,Horne,michelle.horne@yahoo.com,TRUE,1/15/18,0,65.03
miguel.gamble,Miguel,Gamble,miguel9530@hotmail.com,FALSE,8/26/18,6,1.11
mikayla.west,Mikayla,West,west@hotmail.com,TRUE,7/6/18,6,2.28
miller,Joshua,Miller,joshua7805@yahoo.com,TRUE,9/17/18,6,44.45
miller4208,Tina,Miller,miller@yahoo.com,FALSE,8/10/18,5,55.94
miller8552,Hannah,Miller,hannah5934@gmail.com,TRUE,6/29/18,6,8.12
miranda6426,Miranda,Rogers,miranda.rogers@gmail.com,TRUE,8/6/18,0,20.51
mjohnson,Mathew,Johnson,johnson1466@yahoo.com,FALSE,6/29/18,1,79.95
moore,Yvonne,Moore,yvonne5907@gmail.com,TRUE,7/10/18,5,52.46
moore7025,Mark,Moore,mmoore@gonzalez.com,TRUE,7/30/18,1,82.6
mpaul,Melissa,Paul,paul2182@hotmail.com,TRUE,7/15/18,2,66.94
mshort,Michael,Short,michael8762@yahoo.com,TRUE,5/29/18,6,83.18
msolis,Michael,Solis,solis7414@yahoo.com,TRUE,5/31/18,7,93.25
nancy,Nancy,Williams,williams8331@gmail.com,TRUE,5/14/18,4,41.15
nathaniel,Nathaniel,Goodman,ngoodman@hotmail.com,TRUE,9/6/18,2,87.98
nelson,Laura,Nelson,nelson6092@yahoo.com,TRUE,8/2/18,7,34.47
nicholas.padilla,Nicholas,Padilla,nicholas@olsen.com,TRUE,6/10/18,6,88.74
nicholas.travis,Nicholas,Travis,nicholas@hotmail.com,FALSE,5/22/18,7,92.42
nicholas5556,Nicholas,Walsh,nwalsh@nelson.info,TRUE,6/24/18,1,86.62
nichols,Nicholas,Nichols,nicholas9581@hotmail.com,TRUE,6/20/18,4,86.06
ortiz5962,Julia,Ortiz,jortiz@rogers.com,TRUE,9/10/18,5,54.45
owens,Kristine,Owens,owens@hotmail.com,TRUE,8/27/18,1,21.64
paige.lewis,Paige,Lewis,paige@hotmail.com,TRUE,7/16/18,1,75.58
palmer,Michael,Palmer,michael.palmer@gmail.com,TRUE,3/24/18,2,53.85
pamela,Pamela,Lynch,pamela.lynch@yahoo.com,TRUE,9/25/18,0,85.82
parker,Michelle,Parker,michelle@gmail.com,TRUE,9/17/18,2,82.78
parker4621,Caleb,Parker,caleb@yahoo.com,TRUE,7/16/18,2,68.69
parsons,Steven,Parsons,parsons@hotmail.com,TRUE,8/9/18,6,68.76
patricia,Patricia,Smith,patricia@gmail.com,TRUE,9/25/18,3,71.36
patricia2613,Patricia,Wang,pwang@yahoo.com,TRUE,7/6/18,1,43.59
paul6364,Paul,Hill,paul2980@hotmail.com,TRUE,2/28/18,1,98.62
paul9642,Paul,Dalton,dalton4600@gmail.com,TRUE,2/23/18,0,61.26
paula7980,Paula,Larson,plarson@hotmail.com,TRUE,2/9/18,2,44.54
payne,Tyler,Payne,tyler.payne@wagner.com,TRUE,2/19/18,2,56.87
peter,Peter,Grimes,pgrimes@yahoo.com,TRUE,9/2/18,0,96.79
peters1942,Christopher,Peters,christopher.peters@gmail.com,FALSE,7/4/18,4,6.05
phillips5654,Vanessa,Phillips,vanessa.phillips@yahoo.com,TRUE,2/3/18,4,68.96
porter,Mark,Porter,mark@hotmail.com,TRUE,2/12/18,4,48.56
rachel,Rachel,,rachel5266@hotmail.com,TRUE,3/12/18,6,14.81
rachel.ellison,Rachel,Ellison,ellison@gmail.com,TRUE,4/8/18,0,65.31
rebecca,Rebecca,Yoder,rebecca.yoder@miranda.biz,TRUE,8/12/18,1,16.44
rebecca848,Rebecca,,rebecca759@hotmail.com,FALSE,6/23/18,0,22.73
reid,Samuel,Reid,samuel.reid@gmail.com,TRUE,6/24/18,5,0.73
rholmes,Robert,Holmes,rholmes@yahoo.com,TRUE,5/4/18,4,55.37
robert,Robert,Brown,robert@gmail.com,TRUE,7/12/18,3,53.16
robert284,Robert,Davidson,robert.davidson@gmail.com,TRUE,5/21/18,3,32.63
robert8280,Robert,,robert@gmail.com,TRUE,9/22/18,2,56.89
roberts,David,Roberts,david.roberts@hotmail.com,TRUE,6/9/18,2,29.5
robinson,Teresa,Robinson,trobinson@hotmail.com,TRUE,3/10/18,1,17.31
robinson5269,Dan,Robinson,drobinson@yahoo.com,TRUE,6/15/18,2,79.28
rodriguez,Amy,Rodriguez,amy.rodriguez@gmail.com,TRUE,4/29/18,0,15.96
rodriguez5768,Joshua,Rodriguez,joshua.rodriguez@hotmail.com,TRUE,1/4/18,3,51.06
rodriguez585,Renee,Rodriguez,rodriguez6865@yahoo.com,TRUE,7/4/18,0,52.35
rodriguez9475,Amanda,Rodriguez,amanda@yahoo.com,FALSE,4/30/18,6,77.81
roger,Roger,Rangel,roger.rangel@gmail.com,TRUE,3/4/18,0,87.21
rogers,Emily,Rogers,emily6420@gmail.com,TRUE,7/24/18,7,69.07
roman7509,Amy,Roman,amy4377@lang.org,TRUE,3/21/18,5,55.53
rose.eaton,Rose,Eaton,reaton@gmail.com,TRUE,1/21/18,7,90.03
ross9165,Jacqueline,Ross,jacqueline.ross@hawkins.com,TRUE,9/11/18,0,24.44
rsnow,Randy,Snow,randy5950@johnson.com,TRUE,1/31/18,5,40.78
ruiz2577,Tommy,Ruiz,ruiz@hotmail.com,FALSE,2/21/18,2,54.8
ruth,Ruth,Randall,randall@yahoo.com,FALSE,1/28/18,0,70.39
sabrina.haas,Sabrina,Haas,sabrina.haas@hotmail.com,TRUE,3/25/18,2,11.6
samuel.conner,Samuel,Conner,conner4407@roberts.info,TRUE,3/30/18,5,0.18
samuel1489,Samuel,Dominguez,samuel@gmail.com,FALSE,1/24/18,4,31.53
sanders,Joy,Sanders,jsanders@hotmail.com,TRUE,9/15/18,0,34.5
sandra.vaughn,Sandra,Vaughn,vaughn@hotmail.com,TRUE,6/11/18,5,79.74
sandra2071,Sandra,,sandra63@yahoo.com,TRUE,1/18/18,1,45.22
sandra2565,Sandra,Zuniga,sandra5507@hotmail.com,TRUE,4/21/18,6,54.98
sarah,Sarah,Ibarra,ibarra6062@gmail.com,FALSE,6/13/18,6,16.98
sarah.evans,Sarah,Evans,evans1842@hotmail.com,FALSE,3/20/18,6,3.17
sbennett,Steven,Bennett,sbennett@yahoo.com,TRUE,2/7/18,5,97.38
scott3928,Scott,,scott@yahoo.com,TRUE,2/26/18,5,72.02
sexton,David,Sexton,david.sexton@hotmail.com,TRUE,7/29/18,2,21.81
sfinley,Samuel,Finley,samuel@gmail.com,FALSE,3/9/18,2,83.62
shari,Shari,Williams,shari@hotmail.com,TRUE,2/6/18,6,67.04
shelly,Shelly,Johnson,johnson7039@yahoo.com,TRUE,5/29/18,0,18.03
sheri.clements,Sheri,Clements,sheri@gmail.com,TRUE,9/8/18,3,62.13
shernandez,Shannon,Hernandez,hernandez8777@gmail.com,TRUE,9/4/18,4,34.11
sherry6113,Sherry,,sherry@hotmail.com,TRUE,4/6/18,7,21.79
singh2309,Carol,Singh,carol.singh@hotmail.com,TRUE,2/15/18,6,34.22
smercer,Scott,Mercer,smercer@yahoo.com,TRUE,9/19/18,2,76.77
smith,William,Smith,smith1172@hotmail.com,FALSE,5/2/18,4,65.79
smith6248,James,Smith,smith@gmail.com,FALSE,3/30/18,1,19.23
smith6903,Susan,Smith,ssmith@yahoo.com,TRUE,9/6/18,6,27.53
smith8419,Shawn,Smith,shawn@hotmail.com,TRUE,6/8/18,2,58.85
smith9087,Kimberly,Smith,kimberly@hotmail.com,TRUE,1/1/18,6,54.04
smoyer,Sydney,Moyer,sydney7488@hotmail.com,TRUE,1/3/18,2,90.87
sophia.perez,Sophia,Perez,perez@hotmail.com,TRUE,9/5/18,1,27.71
spadilla,Susan,Padilla,susan6496@kelly-cruz.info,TRUE,5/1/18,3,88.32
spence,James,Spence,spence@gmail.com,TRUE,4/20/18,0,47.28
sstanton,Samantha,Stanton,samantha.stanton@gmail.com,TRUE,1/25/18,3,43.05
stanley7729,Stanley,Spence,stanley.spence@gmail.com,FALSE,3/24/18,3,62.15
staylor,Samantha,Taylor,samantha@yahoo.com,TRUE,4/19/18,6,4.92
stein,Douglas,Stein,stein@yahoo.com,FALSE,1/2/18,1,48.52
stephanie4610,Stephanie,Fuller,stephanie9430@nguyen.com,FALSE,4/14/18,5,66.21
stephanie5596,Stephanie,Owens,stephanie.owens@gmail.com,TRUE,4/8/18,3,29.75
steven,Steven,Conner,conner7093@gmail.com,FALSE,2/14/18,4,83.16
steven3847,Steven,Jackson,sjackson@yahoo.com,TRUE,4/8/18,7,16.95
stevens8089,Lisa,Stevens,lisa@davis.com,TRUE,6/16/18,1,39.29
sthompson,Sarah,Thompson,sarah@rodriguez.biz,FALSE,5/5/18,2,9.29
sward,Susan,Ward,sward@gmail.com,FALSE,6/21/18,2,39.5
tamara,Tamara,,tamara6323@gmail.com,TRUE,6/15/18,5,16.78
tammy.brown,Tammy,Brown,tammy.brown@yahoo.com,TRUE,7/10/18,2,6.3
tammy7432,Tammy,Pacheco,tammy.pacheco@yahoo.com,TRUE,5/30/18,4,7.1
tanya.carlson,Tanya,Carlson,tcarlson@hotmail.com,TRUE,1/13/18,0,27.79
tara.clark,Tara,Clark,tara4681@hotmail.com,FALSE,4/18/18,7,65.16
taylor1468,Taylor,Long,tlong@hotmail.com,TRUE,4/3/18,0,8.45
taylor2783,Taylor,,taylor@lewis.info,TRUE,1/7/18,1,11.19
taylor7649,Michael,Taylor,taylor2184@gmail.com,TRUE,8/18/18,7,83.97
tbender,Travis,Bender,travis@yahoo.com,FALSE,7/30/18,0,50.55
tgeorge,Travis,George,george6344@chavez-jackson.com,TRUE,3/11/18,0,37.59
theresa5909,Theresa,Mitchell,theresa@hotmail.com,TRUE,8/30/18,5,63.46
thomas.price,Thomas,Price,price@hotmail.com,TRUE,9/21/18,6,10.16
thompson2327,Troy,Thompson,troy.thompson@gmail.com,FALSE,4/24/18,7,98.09
thompson2826,Frank,Thompson,thompson1904@hotmail.com,FALSE,9/21/18,0,41.82
thompson9387,Patrick,Thompson,pthompson@yahoo.com,TRUE,5/11/18,3,36.39
tiffany.bowen,Tiffany,Bowen,tiffany@hamilton.biz,TRUE,3/12/18,6,86.38
timothy.heath,Timothy,Heath,heath6503@gmail.com,TRUE,6/9/18,6,76.78
timothy3285,Timothy,Davis,davis@jones.net,TRUE,8/4/18,5,43.24
tina3658,Tina,,tina@hotmail.com,TRUE,8/26/18,2,17.41
tjohnson,Taylor,Johnson,johnson5212@gmail.com,TRUE,6/10/18,3,93.84
tmaxwell,Tiffany,Maxwell,tiffany@gmail.com,TRUE,5/10/18,6,3.9
torres,Taylor,Torres,taylor.torres@ware.info,TRUE,1/12/18,7,21.88
tstewart,Tricia,Stewart,tricia@yahoo.com,TRUE,6/4/18,4,22.33
twebster,Taylor,Webster,taylor.webster@gmail.com,TRUE,5/25/18,0,51.8
twhite,Timothy,White,white5136@hotmail.com,TRUE,7/6/18,5,99.9
tyler.zavala,Tyler,Zavala,tyler.zavala@murray.com,TRUE,7/8/18,2,5.98
valerie,Valerie,Cannon,valerie.cannon@yahoo.com,TRUE,4/30/18,2,28.31
vang,Tammie,Vang,vang@gmail.com,TRUE,7/4/18,5,24.61
victor,Victor,Tanner,victor@sullivan-fowler.org,FALSE,9/20/18,1,53.55
walsh,Kelli,Walsh,walsh@hotmail.com,TRUE,2/8/18,1,14.7
walters2042,Leslie,Walters,walters8435@gmail.com,TRUE,7/27/18,2,40.83
watts,Jenna,Watts,jenna@gmail.com,TRUE,3/12/18,0,54.5
wbrown,Wesley,Brown,wesley@hotmail.com,TRUE,6/24/18,7,35.64
wesley.hayes,Wesley,Hayes,wesley.hayes@gmail.com,TRUE,8/17/18,3,90.44
west,Brian,West,west@yahoo.com,TRUE,1/30/18,3,52.83
wilkins,David,Wilkins,david1254@goodman.info,TRUE,8/6/18,4,52.15
william,William,,william@hotmail.com,TRUE,6/13/18,4,4.69
william.lee,William,Lee,lee5646@yahoo.com,TRUE,5/30/18,3,67.65
william2231,William,Douglas,douglas8813@yahoo.com,TRUE,5/19/18,4,85.32
william4588,William,Pittman,william.pittman@gmail.com,TRUE,4/11/18,2,2.04
william6714,William,,william5677@yahoo.com,TRUE,4/26/18,3,74.65
wilson,Robert,Wilson,robert@yahoo.com,FALSE,5/16/18,5,59.75
wking,Wanda,King,wanda.king@holt.com,TRUE,6/1/18,2,67.08
wright3590,Jacqueline,Wright,jacqueline.wright@gonzalez.com,TRUE,2/8/18,6,18.48
young,Jessica,Young,jessica4028@yahoo.com,TRUE,7/17/18,4,75.39
zachary.neal,Zachary,Neal,zneal@gmail.com,TRUE,7/26/18,1,39.9
